Group;No.;Compounds;SMILES;RI
Train;m61;4-Methylbuphedrone;c1c(ccc(c1)C(=O)C(CC)NC)C;285.13
Train;m62;4-Methyl-?-pyrrolidinopropiophenone (MPPP);O=C(C(N1CCCC1)C)c1ccc(cc1)C;263.75
Train;m63;4-MTA;S(c1ccc(CC(N)C)cc1)C;300.4
Test;m64;4-OH-DIPT;[nH]1cc(c2c1cccc2O)CCN(C(C)C)C(C)C;231.68
Test;m65;5 6-di-Me-Benzotriazole;c1cc(c2c(c1)nnn2C)C;416.48
Test;m66;5-(p-Methylphenyl)-5-phenylhydantoin (MPPH);C1(c2ccc(cc2)C)(c2ccccc2)NC(=O)NC1=O;520.33
Train;m67;5-APB;o1c2c(cc(CC(N)C)cc2)cc1;266.04
Test;m68;5-Carboxybupranolol;Clc1c(OCC(O)CNC(C)(C)C)cc(cc1)C(=O)O;282.84
Test;m69;5-IAI;NC1Cc2ccc(I)cc2C1;325.6
Train;m70;5-Me-Benzotriazole;c1cc(c2c(c1)nn[nH]2)C;345.46
Train;m71;5-MeO-AMT;c12c([nH]cc1CC(C)N)ccc(c2)OC;233.21
Train;m72;5-MeO-DALT;N(CCc1c[nH]c2ccc(cc12)OC)(CC=C)CC=C;273.68
Train;m73;5-MeO-DIPT;N(CCc1c[nH]c2ccc(cc12)OC)(C(C)C)C(C)C;267.57
Train;m74;5-MeO-DMT;c12c([nH]cc1CCN(C)C)ccc(c2)OC;204.19
Test;m75;5-MeOT;c12c([nH]cc1CCN)ccc(c2)OC;206.48
Train;m76;5-MeO-TMT;O(c1cc2c(CCN(C)C)c([nH]c2cc1)C)C;220.22
Train;m77;6-APB;o1ccc2c1cc(cc2)CC(C)N;267.57
Train;m78;6-Mercaptopurine;c12c(nc[nH]c1=S)[nH]cn2;99.57
Train;m79;6-O-Monoacetylmorphine (MAM);[C@]123c4c5O[C@H]1[C@H](C=C[C@H]2[C@@H](Cc4ccc5O)N(CC3)C)OC(=O)C;186.63
Test;m80;7-Aminoclonazepam;c12C(=NCC(=O)Nc1ccc(c2)N)c1c(cccc1)Cl;271.39
Test;m81;7-Aminodesmethylflunitrazepam;Fc1c(C2=NCC(=O)Nc3c2cc(N)cc3)cccc1;253.06
Train;m82;7-Aminoflunitrazepam;Fc1c(C2=NCC(=O)N(c3c2cc(N)cc3)C)cccc1;313.39
Train;m83;7-Aminonitrazepam;O=C1Nc2c(C(=NC1)c1ccccc1)cc(N)cc2;265.28
Train;m84;8-OH-Mirtazapine;c1(cnc2c(c1)Cc1c(C3N2CCN(C3)C)cccc1)O;246.95
Test;m85;Acebutolol;O(CC(O)CNC(C)C)c1c(cc(NC(=O)CCC)cc1)C(=O)C;265.28
Train;m86;Aceclidine;CC(=O)OC1CN2CCC1CC2;272.15
Test;m87;Acemetacin;Clc1ccc(C(=O)n2c3c(c(c2C)CC(=O)OCC(=O)O)cc(OC)cc3)cc1;656.25
Test;m88;Acephate;S(P(=O)(OC)NC(=O)C)C;137.75
Train;m89;Acepromazine;S1c2c(N(c3c1cccc3)CCCN(C)C)cc(cc2)C(=O)C;470.69
Train;m90;Aceprometazine;c1cccc2c1N(c1c(S2)ccc(c1)C(=O)C)CC(N(C)C)C;454.66
Train;m91;Acetaminodantrolene;o1c(c2ccc(NC(=O)C)cc2)ccc1/C=N/N1CC(=O)NC1=O;333.24
Train;m92;Acetamiprid;N#C/N=C(/N(Cc1ccc(nc1)Cl)C)\C;295.06
Train;m93;Acetazolamide;c1(sc(nn1)NC(=O)C)S(=O)(=O)N;162.19
Test;m94;Acetiamine;S(/C(=C(/N(Cc1c(nc(nc1)C)N)C=O)\C)/CCOC(=O)C)C(=O)C;240.84
Train;m95;Acetochlor;O=C(N(COCC)c1c(CC)cccc1C)CCl;681.45
Train;m96;Acibenzolar-S-Methyl;s1nnc2c1c(ccc2)C(=O)SC;637.16
Train;m97;Aciclovir;Nc1nc2n(COCCO)cnc2c(=O)[nH]1;78.96
Test;m98;Aclonifen;c1(c(c(c(Oc2ccccc2)cc1)Cl)N)N(=O)=O;729.56
Train;m99;Aconitine;O([C@]12[C@@H]3[C@H]([C@]45[C@@H]6[C@@H](OC)[C@H]1C4N(C[C@@]6([C@H](O)C[C@@H]5OC)COC)CC)C[C@@](O)([C@@H]3OC(=O)c1ccccc1)[C@@H](OC)[C@@H]2O)C(=O)C;441.67
Test;m100;Acrivastine;O=C(O)/C=C/c1nc(/C(=C/CN2CCCC2)/c2ccc(cc2)C)ccc1;408.84
Test;m101;Actinoquinol;S(=O)(=O)(O)c1c2c(nccc2)c(OCC)cc1;172.12
Train;m102;Adenine;Nc1ncnc2[nH]cnc12;85.83
Train;m103;Adenosine;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O;140.04
Test;m104;Agomelatine;COc1ccc2cccc(CCNC(=O)C)c2c1;563.09
Test;m105;Ajmaline;[C@@]123[C@@H](N(c4c2cccc4)C)[C@H]2N4[C@H](C([C@H]1O)[C@@H]([C@@H]([C@H]4O)CC)C2)C3;296.59
Test;m106;Alachlor;COCN(c1c(CC)cccc1CC)C(=O)CCl;689.09
Train;m107;Alanycarb;S(N(Cc1ccccc1)CCC(=O)OCC)N(C(=O)O/N=C(\SC)/C)C;721.92
Train;m108;Albendazole;S(c1cc2nc([nH]c2cc1)NC(=O)OC)CCC;602.03
Train;m109;Albendazole sulfone;S(=O)(=O)(c1cc2nc([nH]c2cc1)NC(=O)OC)CCC;347.75
Train;m110;Aldicarb;S(C(/C=N/OC(=O)NC)(C)C)C;371.42
Train;m111;Aldicarb-sulfone (Aldoxycarb);S(=O)(=O)(C(C)(C)C=NOC(=O)NC)C;186.63
Train;m112;Aldicarb-sulfoxide;S(=O)(C(C)(C)/C=N/OC(=O)NC)C;167.54
Train;m113;Alfentanyl;C(=O)(CC)N(c1ccccc1)C1(CCN(CC1)CCn1nnn(c1=O)CC)COC;487.49
Train;m114;Alimemazine;c12N(c3c(Sc1cccc2)cccc3)CC(CN(C)C)C;518.8
Test;m115;Alitame;S1C(C(NC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)C)C1(C)C)(C)C;365.31
Train;m116;Alizapride;C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC;176.7
Test;m117;Allethrin I;O(C(=O)C1C(C1C=C(C)C)(C)C)C1C(=C(C(=O)C1)CC=C)C;827.3
Train;m118;Allidochlor;ClCC(=O)N(CC=C)CC=C;386.69
Train;m119;allo-THF (Allotetrahydrocortisol or 5a-Pregnane-3a,11b,17a,21-tetrol-20-one );[C@H]12[C@H]3[C@@H]([C@@]4([C@@H](CC3)C[C@@H](CC4)O)C)[C@H](C[C@@]1([C@](CC2)(C(=O)CO)O)C)O;578.36
Train;m120;alpha-ET;[nH]1c2c(c(CC(N)CC)c1)cccc2;285.13
Train;m121;alpha-Hydroxy-Alprazolam;Clc1cc2c(n3c(nnc3CO)CN=C2c2ccccc2)cc1;519.56
Test;m122;Alpha-methylfentanyl;O=C(N(C1CCN(CC1)C(Cc1ccccc1)C)c1ccccc1)CC;365.31
Train;m123;alpha-PPP;CC(C(=O)c1ccccc1)N1CCCC1;206.48
Test;m124;Alpha-PVP;O=C(C(N1CCCC1)CCC)c1ccccc1;288.19
Train;m125;Alprazolam;Clc1cc2c(n3c(nnc3C)CN=C2c2ccccc2)cc1;538.65
Train;m126;Alprenolol;O(CC(O)CNC(C)C)c1c(CC=C)cccc1;412.66
Train;m127;Alypin;O(C(CN(C)C)(CN(C)C)CC)C(=O)c1ccccc1;363.79
Train;m128;AM-1220;CN1CCCCC1Cn1cc(c2c1cccc2)C(=O)c1cccc2c1cccc2;518.04
Test;m129;AM-1220-Azepane;O=C(c1cn(C2CCCCN(C)C2)c2c1cccc2)c1c2c(cccc2)ccc1;557.74
Train;m130;AM-2201;c12c(cccc1)n(cc2C(=O)c1c2c(cccc2)ccc1)CCCCCF;757.81
Train;m131;AM-2233;Ic1c(C(=O)c2cn(CC3N(CCCC3)C)c3c2cccc3)cccc1;443.2
Test;m132;AM-694;Ic1c(C(=O)c2c3c(n(CCCCCF)c2)cccc3)cccc1;699.01
Train;m133;Amantadine;NC12CC3CC(CC(C3)C1)C2;271.39
Test;m134;Ametryn;S(c1nc(nc(n1)NCC)NC(C)C)C;599.74
Train;m135;Amfepramone;O=C(C(N(CC)CC)C)c1ccccc1;214.12
Test;m136;Amidephrine;S(=O)(=O)(Nc1cc(C(O)CNC)ccc1)C;94.23
Train;m137;Amidosulfuron;S(=O)(=O)(N(S(=O)(=O)C)C)NC(=O)Nc1nc(OC)cc(OC)n1;417.24
Train;m138;Amiloride;c1(C(=O)NC(=N)N)c(nc(c(n1)Cl)N)N;181.28
Train;m139;Aminocarb  (Metacil);c1(cc(c(cc1)N(C)C)C)OC(=O)NC;293.53
Train;m140;Aminoglutethimide;C1(c2ccc(cc2)N)(C(=O)NC(=O)CC1)CC;281.31
Test;m141;Aminophenazone. Amidopyrin;n1(c2ccccc2)c(=O)c(c(n1C)C)N(C)C;298.11
Train;m142;Aminopromazine;N1(c2c(Sc3c1cccc3)cccc2)CC(CN(C)C)N(C)C;552.4
Train;m143;Aminorex Isomer 1;C1(c2ccccc2)OC(=NC1)N;180.52
Train;m144;Amiodarone;c1(c2c(oc1CCCC)cccc2)C(=O)c1cc(c(c(c1)I)OCCN(CC)CC)I;824.25
Train;m145;Amisulpiride;c1(c(cc(c(c1)S(=O)(=O)CC)N)OC)C(=O)NCC1N(CCC1)CC;196.55
Train;m146;Amitriptyline;C1(=CCCN(C)C)c2c(CCc3c1cccc3)cccc2;528.73
Train;m147;Amitrole;Nc1nnc[nH]1;10.23
Train;m148;Amlodipine;C1(C(=C(NC(=C1C(=O)OC)C)COCCN)C(=O)OCC)c1c(cccc1)Cl;538.65
Test;m149;Amorolfine;[C@@H]1(CN(C[C@H](O1)C)CC(Cc1ccc(cc1)C(CC)(C)C)C)C;883.81
Train;m150;Amoxapine;C1(=Nc2c(Oc3c1cc(cc3)Cl)cccc2)N1CCNCC1;483.67
Train;m151;Amphetamine;NC(Cc1ccccc1)C;217.93
Train;m152;Ampicillin;S1[C@H]2N([C@H](C1(C)C)C(=O)O)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1;221.75
Train;m153;Amrinone;O=c1c(N)cc(c2ccncc2)c[nH]1;120.19
Train;m154;AMT . Alpha-Methyltryptamine;[nH]1c2c(c(c1)CC(N)C)cccc2;239.32
Test;m155;Anabasine;C1CCC(NC1)c1cccnc1;124.77
Train;m156;Anatabine;N1[C@H](c2cnccc2)CC=CC1;104.92
Train;m157;Ancymidol;OC(C1CC1)(c1ccc(OC)cc1)c1cncnc1;446.26
Test;m158;Anilazine. Dyrene;Clc1nc(nc(n1)Cl)Nc1ccccc1Cl;644.03
Train;m159;Anilofos;Clc1ccc(N(C(=O)CSP(=S)(OC)OC)C(C)C)cc1;728.03
Train;m160;Antazoline;c1ccc(cc1)CN(c1ccccc1)CC1=NCCN1;389.75
Train;m161;Apomorphine;Oc1c2c3c4C(N(CCc4ccc3)C)Cc2ccc1O;227.1
Train;m162;Apophedrin  (Phenylethanolamine);NCC(O)c1ccccc1;117.14
Train;m163;Apraclonidin;Nc1cc(Cl)c(c(c1)Cl)NC1=NCCN1;136.23
Train;m164;Aprindine;N(C1Cc2c(C1)cccc2)(c1ccccc1)CCCN(CC)CC;576.07
Train;m165;Apronalide;O=C(NC(=O)N)C(C(C)C)CC=C;430.22
Test;m166;Aramite (total);ClCCOS(=O)OC(COc1ccc(C(C)(C)C)cc1)C;830.36
Train;m167;Arecoline;O(C(=O)C1=CCCN(C1)C)C;33.14
Train;m168;Aripiprazole;O=C1Nc2c(ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)c2)CC1;559.27
Train;m169;arprinocid;Fc1cccc(c1Cn1cnc2c1ncnc2N)Cl;411.89
Train;m170;Asana  (Esfenvalerate);Clc1ccc([C@@H](C(=O)O[C@@H](c2cc(Oc3ccccc3)ccc2)C#N)C(C)C)cc1;918.17
Test;m171;Asenapine;c12[C@@H]3[C@@H](c4c(Oc1ccc(c2)Cl)cccc4)CN(C3)C;464.58
Train;m172;Aspartame;O(C(=O)[C@@H](NC(=O)[C@@H](N)CC(=O)O)Cc1ccccc1)C;282.84
Train;m173;Aspon;S=P(OP(=S)(OCCC)OCCC)(OCCC)OCCC;886.1
Train;m174;Astemizole;Fc1ccc(Cn2c(NC3CCN(CC3)CCc3ccc(OC)cc3)nc3c2cccc3)cc1;513.45
Train;m175;Asulam;S(=O)(=O)(NC(=O)OC)c1ccc(N)cc1;160.66
Train;m176;Atenolol;OC(COc1ccc(cc1)CC(=O)N)CNC(C)C;136.23
Train;m177;Atomoxetine;CNCC[C@@H](Oc1ccccc1C)c1ccccc1;482.91
Train;m178;Atorvastatin;O=C(O)C[C@H](O)C[C@H](O)CCn1c(c2ccc(F)cc2)c(c2ccccc2)c(C(=O)Nc2ccccc2)c1C(C)C;660.83
Train;m179;Atraton;O(c1nc(nc(n1)NCC)NC(C)C)C;496.66
Train;m180;Atrazine;Clc1nc(nc(n1)NCC)NC(C)C;523.38
Train;m181;Atrazine 2-Hydroxy;O=c1[nH]c(NC(C)C)nc(NCC)n1;284.37
Train;m182;Atrazine-desethyl;Clc1nc(nc(n1)N)NC(C)C;337.82
Train;m183;Atrazine-desisopropyl;Nc1nc(Cl)nc(NCC)n1;262.99
Train;m184;Atropine;O([C@@H]1C[C@H]2N([C@@H](C1)CC2)C)C(=O)C(c1ccccc1)CO;233.21
Test;m185;AvermectinB1a (Abamectin);C1[C@@H](O[C@H]([C@@H]([C@H]1OC)O[C@H]1C[C@@H]([C@H]([C@@H](O1)C)O)OC)C)O[C@@H]1/C(=C/C[C@H]2O[C@@]3(C[C@@H](OC(=O)[C@@H]4C=C([C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]1C)/[C@@]45O)C)C2)O[C@@H]([C@H](C=C3)C)[C@@H](C)CC)/C;941.85
Train;m186;Axeen Isomer 2 (Proxabarbal. Proxibarbital);O=C1NC(=O)NC(=O)C1(CC(O)C)CC=C;292.77
Test;m187;Azaconazole Peak 1;Clc1c(C2(OCCO2)Cn2ncnc2)ccc(Cl)c1;499.71
Test;m188;Azacyclonol;OC(c1ccccc1)(c1ccccc1)C1CCNCC1;372.95
Train;m189;Azapropazone;O=C1n2n(C(=O)C1CCC)c(nc1c2cc(cc1)C)N(C)C;399.68
Train;m190;Azatadine;CN1CCC(=C2c3ccccc3CCc3c2nccc3)CC1;357.68
Train;m191;Azelastine;O=c1n(C2CCN(C)CCC2)nc(Cc2ccc(Cl)cc2)c2c1cccc2;479.86
Train;m192;Azimsulfuron;S(=O)(=O)(c1c(c2nn(nn2)C)cnn1C)NC(=O)Nc1nc(cc(n1)OC)OC;482.15
Test;m193;Azinphos-ethyl;S(P(=S)(OCC)OCC)Cn1nnc2c(c1=O)cccc2;676.87
Train;m194;Azinphos-methyl (Guthion);S(P(=S)(OC)OC)Cn1nnc2c(c1=O)cccc2;579.13
Train;m195;Aziprotryne;S(c1nc(nc(n1)NC(C)C)N=N#N)C;641.74
Train;m196;Azithromycin;N1(C[C@@H](C[C@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O[C@@H]([C@]([C@@H]([C@H]1C)O)(O)C)CC)C)O[C@H]1C[C@@]([C@H]([C@@H](O1)C)O)(C)OC)C)O[C@H]1[C@@H]([C@H](C[C@H](O1)C)N(C)C)O)(O)C)C)C;356.91
Test;m197;Azoxystrobin;O(c1c(/C(=C\OC)/C(=O)OC)cccc1)c1ncnc(Oc2c(cccc2)C#N)c1;589.05
Train;m198;Baclofen;O=C(O)CC(c1ccc(Cl)cc1)CN;226.33
Train;m199;Bambuterol;OC(c1cc(OC(=O)N(C)C)cc(OC(=O)N(C)C)c1)CNC(C)(C)C;294.3
Train;m200;Bamifylline;O=c1n(C)c(=O)c2c(n1C)nc(n2CCN(CC)CCO)Cc1ccccc1;300.4
Train;m201;Bamipine;N1(CCC(N(Cc2ccccc2)c2ccccc2)CC1)C;493.6
Test;m202;Barban  (endo)  (isomerA);ClCC#CCOC(=O)Nc1cccc(Cl)c1;644.03
Train;m203;Barverin;O=C1N(CCN2CCCCC2)C(=O)N(C(=O)C1(N1CCCCC1)c1ccccc1)CCN1CCCCC1;483.67
Train;m204;BDB;O1c2cc(CC(N)CC)ccc2OC1;261.46
Train;m205;Beclamide;ClCCC(=O)NCc1ccccc1;379.06
Test;m206;Beflubutamid;c1(C(F)(F)F)c(ccc(c1)OC(C(=O)NCc1ccccc1)CC)F;712.76
Train;m207;Befunolol;o1c2c(cc1C(=O)C)cccc2OCC(O)CNC(C)C;276.73
Train;m208;Benactyzine;OC(c1ccccc1)(c1ccccc1)C(=O)OCCN(CC)CC;364.55
Train;m209;Benalaxyl;O=C(N(c1c(cccc1C)C)C(C(=O)OC)C)Cc1ccccc1;731.85
Train;m210;Benazolin;OC(=O)Cn1c(=O)sc2c1c(Cl)ccc2;326.37
Train;m211;Bendiocarb;O1c2c(OC1(C)C)cccc2OC(=O)NC;436.33
Train;m212;Bendroflumethiazide;c1(cc2c(cc1C(F)(F)F)NC(NS2(=O)=O)Cc1ccccc1)S(=O)(=O)N;421.06
Train;m213;Benfuracarb;c12c(CC(O2)(C)C)cccc1OC(=O)CNSN(CCC(=O)OCC)C(C)C;810.5
Train;m214;Benodanil;c1(C(=O)Nc2ccccc2)c(cccc1)I;512.69
Train;m215;Benomyl (decomposed to Carbendazim);n1(c2c(nc1NC(=O)OC)cccc2)C(=O)NCCCC;317.2
Train;m216;Benorilate;O(C(=O)c1c(OC(=O)C)cccc1)c1ccc(NC(=O)C)cc1;466.11
Train;m217;Benoxacor;ClC(Cl)C(=O)N1c2c(OCC1C)cccc2;577.6
Train;m218;Benperidol;Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)n1c(=O)[nH]c2c1cccc2;355.39
Train;m219;Benproperine;O(c1c(Cc2ccccc2)cccc1)CC(N1CCCCC1)C;535.6
Train;m220;Bensulfuron-methyl;c1c(c(ccc1)CS(=O)(=O)NC(=O)Nc1nc(cc(n1)OC)OC)C(=O)OC;569.96
Train;m221;Bensulide;S(=O)(=O)(NCCSP(=S)(OC(C)C)OC(C)C)c1ccccc1;702.83
Test;m222;Bensultap;S(=O)(=O)(SCC(N(C)C)CSS(=O)(=O)c1ccccc1)c1ccccc1;633.34
Train;m223;Bentazone;S1(=O)(=O)N(C(=O)c2c(N1)cccc2)C(C)C;298.88
Train;m224;Benthiavalicarb-isopropyl;s1c2c(nc1[C@H](NC(=O)[C@@H](NC(=O)OC(C)C)C(C)C)C)ccc(F)c2;624.18
Test;m225;Benzatropine;O(C1C[C@@H]2N([C@H](CC2)C1)C)C(c1ccccc1)c1ccccc1;508.87
Train;m226;Benzethonium;O(CC[N+](Cc1ccccc1)(C)C)CCOc1ccc(C(CC(C)(C)C)(C)C)cc1;786.07
Test;m227;Benzocaine;O(C(=O)c1ccc(N)cc1)CC;379.06
Train;m228;Benzoctamine;[C@@]12(c3c([C@H](c4c1cccc4)CC2)cccc3)CNC;398.15
Train;m229;Benzododecinium;[N+](Cc1ccccc1)(CCCCCCCCCCCC)(C)C;757.05
Test;m230;Benzothiazole (BTH);c12c(scn1)cccc2;425.64
Train;m231;Benzotriazole (BTR);[nH]1nnc2c1cccc2;263.75
Test;m232;Benzoximate;c1(/C(=N/OCC)/OC(=O)c2ccccc2)c(c(ccc1OC)Cl)OC;762.39
Train;m233;Benzoxonium;[N+](Cc1ccccc1)(CCCCCCCCCCCC)(CCO)CCO;760.87
Train;m234;Benzoylecgonine;[C@H]1([C@@H]2N([C@H](C[C@@H]1OC(=O)c1ccccc1)CC2)C)C(=O)O;257.64
Train;m235;Benzoylprop-ethyl;Clc1cc(N(C(=O)c2ccccc2)C(C(=O)OCC)C)ccc1Cl;739.49
Test;m236;Benzthiazide;c12c(cc(c(c2)Cl)S(=O)(=O)N)S(=O)(=O)NC(=N1)CSCc1ccccc1;420.29
Train;m237;Benzthiazuron;s1c2c(nc1NC(=O)NC)cccc2;444.73
Train;m238;Benzylpiperazine;N1(CCNCC1)Cc1ccccc1;223.28
Train;m239;betamethazone;C1[C@@H]([C@@]([C@@]2([C@@H]1[C@H]1[C@]([C@H](C2)O)([C@@]2(C(=CC(=O)C=C2)CC1)C)F)C)(C(=O)CO)O)C;544
Train;m240;Betaxolol;c1(ccc(cc1)CCOCC1CC1)OCC(CNC(C)C)O;410.37
Train;m241;Bethanidine;CNC(=NCc1ccccc1)NC;203.43
Train;m242;Bezafibrate;c1c(ccc(c1)CCNC(=O)c1ccc(cc1)Cl)OC(C(=O)O)(C)C;569.96
Train;m243;Bicalutamide;c1(c(ccc(c1)NC(=O)C(CS(=O)(=O)c1ccc(cc1)F)(C)O)C#N)C(F)(F)F;569.96
Train;m244;Bifenazate;c1(c2ccccc2)cc(c(cc1)OC)NNC(=O)OC(C)C;653.96
Test;m245;Bifenox;c1(c(ccc(c1)Oc1c(cc(cc1)Cl)Cl)N(O)O)C(=O)OC;777.67
Train;m246;Bifenthrin ;[C@H]1([C@@H](C1(C)C)C(=O)OCc1c(c(c2ccccc2)ccc1)C)/C=C(/C(F)(F)F)\Cl;976.21
Train;m247;Bioallethrin;C1(C(C1C=C(C)C)(C)C)C(=O)OC1C(=C(C(=O)C1)CC=C)C;841.81
Train;m248;Bioresmethrin;[C@H]1([C@H](C1(C)C)C(=O)OCc1cc(oc1)Cc1ccccc1)C=C(C)C;938.03
Train;m249;Biotin;[C@H]12[C@@H](NC(=O)N2)CS[C@H]1CCCCC(=O)O;239.32
Train;m250;Biperidene;C1(C[C@H]2C[C@@H]1C=C2)C(O)(c1ccccc1)CCN1CCCCC1;482.91
